Id,VehicleType,RemainingBatteryPercentage,EntryPoint,ExitPoint
171,V9,86,A23,A32
172,V7,85,A33,A42
173,V3,95,A29,A40
174,V1,94,A48,A50
175,V8,94,A24,A40
176,V5,76,A14,A30
177,V4,56,A38,A40
178,V1,78,A13,A50
179,V6,78,A28,A50
180,V4,24,A37,A50
181,V4,96,A34,A43
182,V5,46,A17,A45
183,V9,91,A19,A49
184,V8,20,A36,A42
185,V5,26,A33,A39
186,V7,76,A24,A48
187,V3,65,A34,A45
188,V4,29,A17,A46
189,V3,58,A16,A22
190,V8,64,A37,A45
191,V10,91,A11,A36
192,V9,82,A45,A49
193,V6,98,A16,A48
194,V6,56,A3,A36
195,V3,70,A9,A21
196,V4,80,A14,A24
197,V8,82,A13,A21
198,V10,45,A15,A25
199,V5,88,A13,A25
200,V4,61,A35,A41
201,V5,95,A41,A47
202,V2,61,A19,A46
203,V7,80,A46,A49
204,V9,29,A16,A21
205,V6,98,A46,A48
206,V8,64,A19,A23
207,V6,76,A37,A41
208,V4,75,A28,A32
209,V7,37,A19,A28
210,V10,53,A5,A50
211,V8,40,A14,A30
212,V9,32,A26,A34
213,V9,38,A17,A43
214,V1,69,A16,A35
215,V10,55,A25,A26
216,V1,57,A41,A47
217,V2,51,A13,A28
218,V10,72,A37,A47
219,V10,58,A2,A9
220,V1,57,A26,A28
221,V1,98,A22,A37
222,V3,43,A44,A46
223,V3,75,A35,A43
224,V5,26,A16,A30
225,V1,90,A28,A32
226,V7,27,A5,A43
227,V10,44,A29,A35
228,V2,25,A19,A27
229,V3,95,A14,A24
230,V7,48,A49,A50
231,V5,58,A4,A47
232,V9,22,A32,A37
233,V9,48,A37,A40
234,V10,22,A37,A39
235,V4,46,A37,A38
236,V6,73,A11,A30
237,V4,89,A33,A42
238,V1,22,A3,A41
239,V6,84,A45,A49
240,V1,81,A34,A41
241,V10,87,A37,A43
242,V6,86,A33,A45
243,V2,39,A36,A46
244,V4,55,A39,A41
245,V3,90,A45,A47
246,V2,78,A41,A42
247,V2,70,A15,A47
248,V9,49,A13,A23
249,V6,67,A48,A50
250,V7,82,A37,A41
251,V3,67,A46,A48
252,V2,95,A44,A48
253,V9,26,A22,A33
254,V1,28,A36,A40
255,V5,88,A6,A29
256,V1,32,A11,A41
257,V4,67,A1,A15
258,V10,94,A44,A47
259,V10,73,A21,A30
260,V3,95,A23,A26
261,V5,40,A19,A37
262,V6,69,A7,A40
263,V9,91,A14,A16
264,V2,33,A6,A10
265,V2,62,A32,A36
266,V2,58,A20,A34
267,V1,44,A49,A50
268,V6,37,A5,A18
269,V9,96,A15,A31
270,V5,91,A6,A37
271,V2,25,A46,A48
272,V9,51,A18,A44
273,V2,76,A27,A31
274,V10,63,A41,A48
275,V1,42,A27,A44
276,V5,92,A14,A33
277,V3,80,A21,A29
278,V1,51,A10,A27
279,V1,79,A36,A49
280,V1,47,A35,A36
281,V10,70,A5,A7
282,V8,37,A44,A46
283,V10,36,A22,A37
284,V10,87,A24,A27
285,V8,54,A12,A43
286,V5,79,A25,A37
287,V6,46,A13,A36
288,V3,36,A34,A47
289,V1,93,A27,A39
290,V5,31,A29,A48
291,V4,75,A38,A48
292,V7,90,A25,A36
293,V10,31,A15,A36
294,V8,65,A49,A50
295,V8,87,A11,A43
296,V6,93,A31,A32
297,V10,26,A32,A43
298,V9,66,A48,A49
299,V3,69,A28,A30
300,V2,42,A12,A28
301,V9,77,A1,A28
302,V3,34,A28,A43
303,V6,25,A6,A47
304,V5,77,A9,A31
305,V5,73,A2,A15
306,V2,40,A31,A36
307,V5,24,A16,A25
308,V2,57,A10,A45
309,V9,93,A38,A44
310,V3,51,A48,A50
311,V8,69,A26,A29
312,V4,52,A16,A18
313,V6,64,A40,A50
314,V5,71,A15,A49
315,V1,33,A14,A17
316,V7,36,A14,A49
317,V4,22,A24,A48
318,V10,54,A8,A32
319,V6,72,A28,A30
320,V1,54,A48,A50
321,V9,36,A8,A23
322,V3,70,A15,A50
323,V1,30,A21,A31
324,V1,46,A7,A37
325,V6,86,A48,A49
326,V6,42,A14,A19
327,V3,73,A6,A47
328,V9,36,A26,A45
329,V9,36,A9,A49
330,V3,33,A32,A50
331,V9,40,A42,A43
332,V5,40,A22,A23
333,V5,71,A19,A32
334,V1,72,A47,A48
335,V3,39,A42,A44
336,V9,97,A37,A46
337,V7,61,A32,A38
338,V2,23,A22,A41
339,V7,20,A49,A50
340,V4,45,A48,A50
341,V8,83,A42,A43
342,V1,27,A3,A41
343,V9,38,A28,A48
344,V8,67,A4,A39
345,V3,67,A39,A47
346,V9,44,A6,A38
347,V10,70,A27,A43
348,V10,23,A8,A32
349,V6,58,A36,A38
350,V3,71,A10,A42
351,V7,76,A7,A8
352,V7,69,A20,A25
353,V1,37,A16,A25
354,V8,34,A13,A49
355,V1,54,A43,A50
356,V7,22,A20,A45
357,V1,60,A17,A33
358,V10,56,A44,A47
359,V8,79,A47,A48
360,V5,26,A2,A31
361,V10,25,A9,A22
362,V3,62,A14,A49
363,V8,77,A24,A38
364,V10,59,A10,A15
365,V2,36,A20,A33
366,V3,62,A39,A40
367,V6,21,A21,A32
368,V9,50,A33,A41
369,V8,59,A38,A49
370,V7,74,A3,A26
371,V5,73,A35,A43
372,V2,60,A49,A50
373,V4,62,A12,A40
374,V5,50,A39,A43
375,V3,51,A45,A50
376,V5,51,A20,A39
377,V9,26,A17,A26
378,V1,47,A38,A46
379,V4,66,A34,A48
380,V6,22,A30,A38
381,V1,95,A6,A46
382,V7,32,A9,A39
383,V8,23,A27,A37
384,V1,49,A2,A25
385,V7,78,A1,A26
386,V2,35,A31,A43
387,V2,94,A28,A46
388,V3,95,A46,A48
389,V7,56,A22,A24
390,V4,52,A18,A20
391,V1,98,A35,A43
392,V2,90,A13,A20
393,V2,38,A41,A44
394,V7,34,A38,A42
395,V3,34,A41,A49
396,V3,61,A28,A43
397,V1,22,A13,A32
398,V4,79,A12,A47
399,V10,48,A6,A22
400,V4,70,A15,A35
401,V2,33,A43,A44
402,V2,65,A41,A44
403,V9,50,A42,A49
404,V3,97,A13,A36
405,V1,66,A47,A48
406,V5,47,A7,A32
407,V3,21,A9,A30
408,V5,44,A34,A43
409,V7,49,A11,A50
410,V3,54,A31,A40
411,V4,25,A47,A49
412,V2,23,A28,A37
413,V2,77,A24,A27
414,V6,34,A35,A39
415,V6,34,A37,A45
416,V6,74,A2,A18
417,V1,62,A45,A46
418,V10,32,A4,A18
419,V8,23,A47,A49
420,V1,36,A24,A37
421,V5,55,A9,A26
422,V10,85,A19,A26
423,V6,79,A46,A48
424,V1,84,A36,A43
425,V3,76,A3,A20
426,V5,84,A40,A48
427,V9,53,A49,A50
428,V2,88,A21,A36
429,V7,48,A44,A45
430,V1,54,A46,A48
431,V7,26,A3,A9
432,V4,27,A10,A19
433,V2,64,A38,A45
434,V2,31,A43,A50
435,V2,87,A1,A10
436,V5,64,A4,A32
437,V3,43,A27,A41
438,V7,59,A19,A44
439,V8,54,A1,A25
440,V6,45,A22,A32
441,V7,96,A45,A48
442,V2,34,A35,A46
443,V7,26,A14,A45
444,V5,37,A9,A46
445,V10,87,A24,A48
446,V4,61,A22,A39
447,V4,35,A16,A32
448,V5,67,A41,A50
449,V2,88,A36,A39
450,V8,77,A36,A42
451,V8,27,A29,A44
452,V5,63,A6,A27
453,V5,54,A39,A48
454,V4,38,A12,A17
455,V9,34,A37,A46
456,V1,46,A47,A48
457,V7,63,A45,A46
458,V9,44,A23,A30
459,V10,93,A39,A48
460,V5,61,A11,A20
461,V9,24,A39,A41
462,V1,88,A25,A44
463,V3,99,A24,A39
464,V2,58,A27,A46
465,V1,45,A30,A45
466,V6,66,A28,A41
467,V7,45,A31,A41
468,V4,21,A18,A39
469,V1,27,A25,A28
470,V10,68,A3,A25
471,V10,90,A16,A27
472,V7,86,A45,A46
473,V4,57,A32,A50
474,V5,24,A28,A33
475,V5,97,A43,A48
476,V6,34,A27,A28
477,V3,26,A36,A47
478,V6,98,A3,A26
479,V1,89,A25,A27
480,V7,31,A39,A41
481,V9,73,A26,A41
482,V5,58,A6,A45
483,V1,50,A30,A34
484,V2,98,A27,A35
485,V8,47,A35,A44
486,V5,97,A9,A22
487,V10,57,A14,A43
488,V2,21,A49,A50
489,V6,31,A15,A45
490,V4,40,A8,A40
491,V6,76,A7,A42
492,V9,47,A29,A36
493,V9,91,A19,A29
494,V6,68,A27,A46
495,V2,77,A36,A37
496,V9,86,A30,A34
497,V7,82,A40,A42
498,V5,80,A37,A50
499,V10,54,A29,A36
500,V9,34,A8,A32
501,V6,52,A41,A44
502,V3,56,A10,A32
503,V6,55,A28,A29
504,V10,30,A34,A47
505,V5,57,A4,A18
506,V1,68,A40,A43
507,V1,65,A8,A41
508,V7,52,A23,A36
509,V10,63,A11,A50
510,V9,76,A41,A49
511,V1,84,A2,A32
512,V8,37,A22,A38
513,V8,58,A20,A33
514,V3,85,A49,A50
515,V6,47,A38,A47
516,V7,23,A45,A46
517,V5,75,A17,A25
518,V6,29,A9,A20
519,V6,31,A17,A35
520,V5,84,A14,A38
521,V5,45,A42,A46
522,V2,53,A29,A34
523,V10,26,A39,A41
524,V3,86,A20,A43
525,V10,78,A35,A41
526,V4,49,A5,A7
527,V7,33,A31,A47
528,V8,48,A30,A42
529,V4,89,A41,A45
530,V2,22,A19,A48
531,V10,63,A27,A33
532,V1,43,A26,A28
533,V5,79,A40,A48
534,V8,20,A13,A25
535,V6,24,A49,A50
536,V1,91,A26,A39
537,V7,85,A17,A44
538,V7,53,A17,A35
539,V6,49,A35,A50
540,V6,88,A44,A45
541,V7,81,A2,A21
542,V8,83,A8,A20
543,V10,56,A22,A30
544,V9,57,A30,A35
545,V3,85,A36,A42
546,V8,96,A9,A33
547,V4,72,A42,A45
548,V5,41,A12,A24
549,V1,24,A15,A42
550,V7,47,A18,A40
551,V6,20,A27,A49
552,V6,41,A5,A29
553,V5,39,A16,A35
554,V4,60,A28,A29
555,V9,63,A46,A48
556,V3,22,A18,A38
557,V9,49,A37,A48
558,V6,35,A19,A40
559,V8,98,A1,A31
560,V5,57,A45,A47
561,V4,59,A22,A47
562,V8,56,A8,A17
563,V10,54,A43,A48
564,V10,36,A38,A42
565,V6,36,A22,A44
566,V10,36,A33,A38
567,V8,23,A9,A19
568,V2,55,A17,A47
569,V3,72,A18,A45
570,V6,26,A18,A39
571,V9,88,A12,A24
572,V6,95,A10,A45
573,V2,35,A22,A41
574,V8,34,A7,A37
575,V7,51,A8,A48
576,V5,34,A5,A23
577,V1,44,A11,A15
578,V7,22,A41,A43
579,V1,72,A28,A39
580,V4,68,A3,A25
581,V5,89,A15,A38
582,V7,82,A11,A36
583,V6,26,A1,A19
584,V9,98,A9,A49
585,V7,46,A41,A43
586,V4,38,A39,A40
587,V3,77,A48,A50
588,V4,86,A26,A48
589,V5,43,A29,A46
590,V8,63,A26,A50
591,V2,78,A33,A44
592,V5,75,A47,A48
593,V4,27,A7,A12
594,V6,74,A31,A45
595,V3,55,A49,A50
596,V7,45,A38,A46
597,V6,61,A28,A38
598,V5,87,A48,A50
599,V3,52,A44,A45
600,V4,34,A8,A16
601,V7,90,A13,A18
602,V8,85,A17,A20
603,V10,95,A29,A48
604,V9,58,A4,A42
605,V2,56,A48,A50
606,V2,72,A37,A40
607,V7,75,A20,A49
608,V8,39,A48,A49
609,V10,61,A46,A50
610,V5,70,A19,A50
611,V8,30,A8,A48
612,V8,65,A38,A45
613,V2,89,A43,A49
614,V10,82,A5,A25
615,V9,24,A42,A45
616,V5,86,A9,A23
617,V5,22,A27,A32
618,V6,45,A14,A17
619,V10,24,A19,A37
620,V1,29,A34,A36
621,V5,79,A9,A11
622,V9,68,A13,A37
623,V3,65,A36,A48
624,V4,90,A23,A50
625,V10,99,A4,A37
626,V10,94,A27,A50
627,V6,25,A4,A40
628,V10,76,A27,A38
629,V6,43,A39,A41
630,V2,81,A7,A13
631,V7,53,A46,A49
632,V7,99,A40,A43
633,V4,67,A30,A48
634,V8,81,A46,A50
635,V7,49,A21,A44
636,V1,86,A30,A46
637,V10,64,A14,A50
638,V1,80,A5,A32
639,V7,66,A45,A49
640,V1,57,A49,A50
641,V3,42,A22,A32
642,V9,58,A43,A45
643,V9,38,A30,A38
644,V2,74,A3,A26
645,V3,42,A4,A34
646,V1,58,A11,A45
647,V5,89,A8,A11
648,V2,74,A9,A27
649,V4,66,A9,A42
650,V9,53,A10,A29
651,V7,93,A48,A49
652,V1,31,A43,A45
653,V10,94,A24,A34
654,V7,79,A36,A49
655,V5,49,A48,A49
656,V1,51,A37,A50
657,V7,41,A34,A38
658,V10,57,A12,A30
659,V5,95,A11,A23
660,V7,70,A7,A37
661,V5,20,A24,A36
662,V10,28,A14,A24
663,V5,84,A21,A33
664,V9,88,A20,A22
665,V4,49,A1,A34
666,V9,71,A31,A34
667,V5,20,A5,A31
668,V9,40,A24,A30
669,V10,39,A4,A31
670,V2,47,A23,A47
671,V4,89,A36,A45
672,V4,46,A34,A49
673,V7,97,A33,A44
674,V6,41,A27,A47
675,V10,53,A47,A50
676,V4,57,A9,A29
677,V5,40,A15,A38
678,V7,32,A30,A47
679,V9,25,A21,A38
680,V1,35,A28,A47
681,V1,95,A27,A48
682,V7,26,A27,A48
683,V5,97,A22,A46
684,V8,74,A46,A49
685,V7,94,A3,A36
686,V3,52,A28,A47
687,V3,24,A37,A49
688,V8,95,A12,A16
689,V10,77,A2,A25
690,V8,98,A38,A46
691,V2,99,A46,A49
692,V1,62,A47,A48
693,V9,56,A6,A29
694,V6,22,A37,A45
695,V5,45,A32,A43
696,V4,67,A35,A42
697,V8,24,A23,A34
698,V4,30,A10,A11
699,V7,35,A44,A46
700,V5,70,A11,A49
701,V3,46,A16,A49
702,V3,85,A3,A19
703,V6,36,A49,A50
704,V7,77,A40,A45
705,V7,53,A40,A46
706,V6,75,A29,A36
707,V7,65,A14,A34
708,V4,34,A38,A48
709,V5,86,A2,A16
710,V3,89,A41,A42
711,V3,82,A14,A39
712,V6,21,A39,A46
713,V6,77,A6,A50
714,V3,33,A8,A45
715,V2,44,A36,A49
716,V7,60,A26,A49
717,V5,32,A13,A40
718,V10,92,A14,A18
719,V3,63,A20,A36
720,V1,58,A32,A40
721,V9,82,A25,A41
722,V4,85,A25,A41
723,V1,61,A18,A34
724,V10,85,A22,A32
725,V10,72,A47,A50
726,V1,82,A35,A49
727,V2,33,A26,A46
728,V8,42,A38,A40
729,V2,54,A4,A32
730,V10,25,A44,A50
731,V9,46,A47,A48
732,V2,37,A45,A48
733,V9,34,A14,A48
734,V7,77,A32,A45
735,V10,83,A25,A28
736,V5,39,A17,A18
737,V7,77,A45,A49
738,V7,52,A15,A19
739,V1,34,A22,A36
740,V5,83,A27,A41
741,V3,80,A6,A44
742,V10,73,A4,A49
743,V4,77,A47,A49
744,V7,71,A23,A49
745,V3,54,A7,A40
746,V2,37,A41,A45
747,V9,87,A17,A33
748,V3,79,A40,A42
749,V9,79,A44,A48
750,V2,26,A38,A45
751,V10,95,A22,A40
752,V6,24,A4,A34
753,V8,93,A8,A23
754,V3,44,A10,A24
755,V3,70,A37,A38
756,V8,86,A13,A21
757,V6,89,A3,A25
758,V4,99,A30,A33
759,V4,42,A31,A35
760,V4,25,A38,A49
761,V8,22,A20,A43
762,V9,99,A37,A47
763,V2,36,A30,A46
764,V7,60,A36,A42
765,V3,40,A24,A38
766,V6,57,A23,A50
767,V9,38,A42,A44
768,V5,60,A20,A21
769,V8,74,A19,A44
770,V1,29,A45,A48
771,V10,58,A48,A49
772,V6,41,A43,A46
773,V2,81,A6,A25
774,V1,47,A37,A43
775,V9,49,A36,A49
776,V6,25,A48,A49
777,V10,31,A29,A40
778,V2,51,A35,A40
779,V4,94,A17,A36
780,V1,71,A12,A38
781,V6,94,A7,A15
782,V4,81,A26,A38
783,V5,43,A4,A39
784,V7,40,A6,A28
785,V4,61,A34,A35
786,V2,65,A16,A40
787,V1,74,A26,A43
788,V5,84,A46,A49
789,V9,78,A11,A14
790,V8,31,A31,A49
791,V9,55,A10,A11
792,V3,48,A31,A49
793,V9,31,A43,A46
794,V1,96,A17,A34
795,V4,88,A44,A50
796,V4,36,A1,A28
797,V4,32,A5,A11
798,V9,66,A22,A47
799,V10,89,A39,A50
800,V4,22,A24,A49
801,V2,82,A2,A14
802,V8,44,A37,A46
803,V9,64,A20,A45
804,V10,73,A9,A27
805,V8,39,A25,A39
806,V4,67,A34,A36
807,V5,97,A20,A49
808,V3,94,A33,A35
809,V2,63,A27,A44
810,V6,73,A1,A22
811,V3,47,A5,A21
812,V4,56,A23,A48
813,V9,92,A7,A23
814,V8,31,A24,A34
815,V2,97,A7,A39
816,V8,29,A38,A49
817,V6,60,A12,A35
818,V6,40,A2,A32
819,V4,58,A46,A49
820,V10,46,A41,A48
821,V3,88,A32,A46
822,V9,40,A15,A49
823,V5,59,A10,A23
824,V6,96,A5,A23
825,V3,92,A13,A19
826,V4,76,A10,A49
827,V3,72,A28,A46
828,V2,25,A15,A47
829,V3,64,A24,A29
830,V3,32,A22,A32
831,V6,94,A29,A45
832,V5,80,A13,A27
833,V10,21,A16,A25
834,V5,24,A23,A48
835,V10,75,A3,A14
836,V8,33,A33,A38
837,V5,37,A35,A41
838,V9,94,A42,A49
839,V1,90,A46,A50
840,V8,92,A20,A46
841,V3,58,A12,A42
842,V4,28,A42,A44
843,V2,25,A9,A30
844,V4,95,A29,A50
845,V3,49,A41,A47
846,V10,92,A20,A28
847,V4,27,A29,A35
848,V9,75,A11,A47
849,V10,90,A48,A50
850,V5,41,A39,A43
851,V3,47,A14,A36
852,V7,32,A44,A47
853,V3,54,A28,A30
854,V9,73,A16,A36
855,V7,62,A19,A31
856,V5,60,A33,A45
857,V5,28,A35,A44
858,V8,96,A14,A16
859,V4,26,A35,A45
860,V2,32,A8,A12
861,V5,79,A14,A42
862,V9,87,A41,A50
863,V4,89,A24,A26
864,V3,92,A32,A42
865,V2,20,A30,A42
866,V9,25,A45,A50
867,V3,48,A24,A28
868,V6,83,A23,A29
869,V8,64,A48,A49
870,V2,31,A6,A29
871,V2,37,A40,A47
872,V9,27,A2,A5
873,V8,69,A17,A29
874,V6,75,A43,A49
875,V1,99,A48,A49
876,V10,76,A5,A12
877,V8,78,A16,A20
878,V10,69,A5,A43
879,V10,26,A44,A45
880,V2,26,A10,A34
881,V3,96,A35,A39
882,V10,81,A10,A27
883,V6,53,A39,A43
884,V4,95,A35,A38
885,V2,48,A18,A20
886,V9,74,A42,A43
887,V3,39,A44,A45
888,V1,88,A12,A31
889,V9,54,A42,A50
890,V5,34,A42,A47
891,V2,91,A39,A49
892,V6,74,A38,A46
893,V6,22,A49,A50
894,V9,36,A46,A47
895,V4,86,A36,A49
896,V2,80,A19,A20
897,V4,23,A15,A33
898,V7,82,A29,A33
899,V10,72,A7,A26
900,V4,25,A40,A44
901,V6,26,A48,A49
902,V1,68,A45,A49
903,V5,24,A12,A37
904,V2,52,A16,A25
905,V6,88,A45,A50
906,V2,92,A44,A47
907,V3,59,A18,A33
908,V2,39,A8,A49
909,V9,93,A22,A24
910,V9,93,A24,A49
911,V9,48,A13,A43
912,V7,23,A33,A44
913,V4,33,A10,A12
914,V4,45,A6,A41
915,V4,99,A11,A24
916,V9,63,A45,A49
917,V4,92,A35,A39
918,V9,66,A9,A15
919,V9,27,A21,A35
920,V9,50,A25,A35
921,V9,23,A7,A42
922,V5,58,A49,A50
923,V3,40,A8,A35
924,V10,35,A24,A27
925,V10,28,A13,A28
926,V10,35,A38,A48
927,V4,25,A24,A36
928,V7,89,A31,A47
929,V4,30,A4,A48
930,V7,22,A32,A44
931,V7,57,A46,A47
932,V5,74,A6,A47
933,V5,61,A7,A10
934,V1,78,A43,A49
935,V8,84,A46,A50
936,V7,89,A39,A41
937,V5,57,A17,A41
938,V2,71,A10,A31
939,V5,48,A4,A9
940,V8,22,A19,A48
941,V9,90,A39,A43
942,V3,22,A42,A46
943,V8,50,A26,A37
944,V1,83,A11,A45
945,V1,40,A19,A29
946,V2,93,A28,A31
947,V9,89,A11,A29
948,V5,31,A30,A47
949,V6,67,A40,A41
950,V1,49,A6,A41
951,V9,21,A23,A34
952,V3,79,A7,A50
953,V3,56,A27,A38
954,V6,21,A12,A27
955,V2,67,A31,A46
956,V5,25,A38,A41
957,V1,29,A49,A50
958,V8,38,A10,A19
959,V5,39,A39,A50
960,V3,31,A34,A45
961,V4,77,A13,A17
962,V7,37,A22,A49
963,V5,22,A10,A33
964,V1,93,A35,A49
965,V8,26,A2,A18
966,V4,81,A11,A14
967,V8,36,A18,A25
968,V10,25,A42,A44
969,V4,37,A40,A41
970,V5,69,A19,A42
971,V2,73,A37,A43
972,V3,78,A21,A27
973,V1,98,A21,A48
974,V4,46,A22,A38
975,V1,33,A46,A49
976,V8,35,A38,A39
977,V8,87,A33,A35
978,V3,86,A29,A41
979,V10,40,A36,A49
980,V2,57,A27,A50
981,V10,63,A10,A16
982,V3,97,A43,A47
983,V9,48,A38,A46
984,V2,97,A17,A21
985,V2,37,A40,A49
986,V10,65,A42,A48
987,V1,61,A8,A45
988,V6,38,A34,A43
989,V2,82,A12,A25
990,V8,55,A27,A32
991,V4,42,A19,A41
992,V3,55,A40,A46
993,V8,33,A32,A33
994,V5,89,A15,A38
995,V2,67,A28,A40
996,V9,26,A26,A44
997,V8,98,A31,A48
998,V8,42,A10,A31
999,V6,23,A48,A49
1000,V2,81,A5,A27
1001,V2,96,A7,A41
1002,V1,32,A10,A12
1003,V9,35,A3,A22
1004,V4,93,A22,A26
1005,V2,35,A43,A45
1006,V1,51,A1,A34
1007,V5,82,A46,A49
1008,V7,63,A3,A7
1009,V2,25,A43,A50
1010,V9,55,A5,A8
1011,V8,54,A15,A49
1012,V9,49,A7,A39
1013,V10,91,A8,A27
1014,V4,38,A35,A43
1015,V6,20,A30,A42
1016,V9,97,A4,A44
1017,V6,81,A42,A46
1018,V9,45,A20,A42
1019,V3,40,A30,A32
1020,V8,24,A1,A17
1021,V9,34,A41,A44
1022,V6,27,A9,A37
1023,V2,65,A17,A18
1024,V1,36,A28,A29
1025,V6,54,A37,A48
1026,V6,94,A32,A37
1027,V1,54,A41,A44
1028,V5,37,A32,A40
1029,V6,86,A31,A36
1030,V2,76,A18,A37
1031,V8,59,A22,A32
1032,V7,64,A30,A38
1033,V7,25,A3,A12
1034,V9,93,A29,A50
1035,V8,53,A32,A47
1036,V7,25,A3,A25
1037,V7,62,A31,A40
1038,V1,58,A22,A46
1039,V3,52,A35,A45
1040,V9,43,A11,A30
1041,V2,50,A30,A43
1042,V9,25,A18,A27
1043,V9,43,A5,A34
1044,V6,98,A13,A19
1045,V5,91,A1,A36
1046,V5,92,A20,A42
1047,V8,52,A2,A42
1048,V7,99,A29,A49
1049,V6,60,A34,A36
1050,V2,58,A28,A47
1051,V10,23,A4,A49
1052,V6,86,A1,A49
1053,V8,94,A32,A44
1054,V5,24,A2,A42
1055,V7,42,A13,A47
1056,V6,84,A26,A43
1057,V10,43,A28,A33
1058,V7,42,A9,A35
1059,V8,63,A8,A19
1060,V1,31,A23,A39
1061,V7,79,A3,A25
1062,V8,88,A7,A39
1063,V6,41,A31,A39
1064,V6,94,A7,A30
1065,V1,61,A47,A50
1066,V2,31,A3,A14
