Id,VehicleType,RemainingBatteryPercentage,EntryPoint,ExitPoint
319,V18,83,A8,A74
320,V8,55,A27,A34
321,V12,20,A63,A75
322,V14,41,A6,A20
323,V17,90,A62,A66
324,V10,77,A37,A65
325,V8,24,A31,A32
326,V12,84,A38,A57
327,V11,45,A38,A69
328,V7,49,A3,A53
329,V14,99,A23,A67
330,V16,30,A43,A45
331,V14,51,A53,A74
332,V12,36,A54,A68
333,V7,48,A9,A21
334,V7,96,A12,A67
335,V8,52,A14,A29
336,V3,70,A50,A54
337,V14,80,A51,A72
338,V20,21,A25,A28
339,V19,54,A44,A58
340,V14,52,A21,A61
341,V18,37,A58,A66
342,V16,56,A50,A63
343,V17,59,A54,A57
344,V4,61,A29,A35
345,V6,41,A34,A36
346,V7,49,A41,A63
347,V12,71,A71,A73
348,V17,98,A60,A71
349,V14,98,A25,A61
350,V12,78,A57,A75
351,V7,96,A16,A33
352,V20,33,A51,A63
353,V5,59,A25,A57
354,V15,79,A72,A75
355,V9,43,A45,A75
356,V11,83,A11,A55
357,V13,30,A33,A37
358,V10,99,A64,A66
359,V3,51,A47,A72
360,V6,72,A74,A75
361,V14,63,A39,A45
362,V14,86,A60,A67
363,V7,54,A11,A69
364,V8,87,A72,A75
365,V15,91,A74,A75
366,V2,40,A50,A74
367,V6,86,A9,A53
368,V15,31,A21,A50
369,V19,86,A36,A47
370,V8,72,A7,A74
371,V18,64,A7,A36
372,V3,39,A37,A49
373,V9,78,A36,A48
374,V5,40,A37,A69
375,V7,45,A64,A73
376,V3,58,A34,A39
377,V12,90,A32,A35
378,V11,78,A3,A71
379,V4,62,A30,A72
380,V2,23,A16,A54
381,V13,70,A41,A61
382,V14,58,A47,A75
383,V6,40,A34,A51
384,V5,28,A72,A73
385,V13,33,A30,A47
386,V12,53,A69,A71
387,V19,62,A73,A75
388,V9,29,A31,A75
389,V5,66,A41,A57
390,V15,65,A69,A75
391,V17,92,A3,A34
392,V19,61,A48,A63
393,V20,69,A31,A73
394,V1,20,A53,A75
395,V18,46,A25,A36
396,V15,29,A3,A39
397,V11,76,A53,A59
398,V4,32,A2,A68
399,V20,64,A59,A63
400,V7,51,A21,A30
401,V11,58,A15,A74
402,V18,70,A13,A49
403,V12,57,A22,A50
404,V2,66,A64,A67
405,V16,93,A36,A68
406,V10,86,A9,A16
407,V15,83,A22,A41
408,V7,93,A28,A73
409,V14,62,A17,A54
410,V12,75,A40,A51
411,V20,53,A1,A51
412,V5,57,A48,A59
413,V16,45,A29,A38
414,V14,30,A45,A54
415,V15,51,A52,A53
416,V1,23,A23,A43
417,V20,69,A63,A69
418,V9,67,A30,A53
419,V7,62,A54,A65
420,V20,93,A65,A74
421,V14,61,A39,A56
422,V18,75,A5,A43
423,V5,89,A49,A63
424,V10,97,A23,A62
425,V13,83,A41,A53
426,V9,53,A57,A73
427,V4,94,A7,A30
428,V17,25,A31,A46
429,V11,92,A47,A55
430,V8,26,A12,A33
431,V15,43,A52,A72
432,V12,89,A40,A61
433,V3,76,A4,A32
434,V2,40,A67,A72
435,V5,69,A24,A44
436,V20,24,A53,A55
437,V15,35,A9,A60
438,V17,88,A24,A37
439,V14,91,A72,A75
440,V14,80,A64,A70
441,V15,24,A16,A71
442,V8,98,A28,A43
443,V6,58,A42,A59
444,V16,61,A67,A75
445,V19,36,A6,A16
446,V3,41,A72,A75
447,V18,23,A70,A72
448,V12,29,A19,A24
449,V20,47,A15,A34
450,V11,52,A7,A32
451,V20,70,A46,A58
452,V17,73,A32,A62
453,V16,81,A2,A56
454,V1,87,A71,A73
455,V15,75,A6,A39
456,V2,97,A36,A51
457,V15,84,A38,A56
458,V2,37,A64,A65
459,V10,29,A5,A11
460,V3,52,A74,A75
461,V13,81,A13,A31
462,V3,45,A31,A70
463,V2,23,A14,A30
464,V5,53,A54,A57
465,V6,36,A55,A59
466,V3,82,A12,A17
467,V20,25,A36,A42
468,V3,52,A22,A37
469,V6,80,A23,A29
470,V6,87,A53,A70
471,V19,53,A70,A71
472,V17,89,A22,A34
473,V8,71,A40,A60
474,V16,37,A74,A75
475,V10,46,A49,A68
476,V16,54,A33,A47
477,V14,50,A57,A69
478,V13,86,A43,A58
479,V10,24,A6,A28
480,V3,32,A63,A66
481,V13,80,A37,A64
482,V8,64,A7,A53
483,V16,86,A64,A66
484,V8,96,A26,A49
485,V10,87,A29,A51
486,V13,80,A15,A46
487,V16,79,A7,A68
488,V17,63,A13,A62
489,V13,95,A20,A61
490,V9,59,A68,A70
491,V3,53,A72,A73
492,V14,97,A55,A71
493,V19,81,A40,A45
494,V8,94,A39,A44
495,V9,84,A33,A64
496,V15,47,A5,A12
497,V12,96,A29,A58
498,V9,72,A48,A68
499,V18,41,A42,A54
500,V8,37,A1,A44
501,V15,95,A49,A52
502,V10,39,A19,A22
503,V19,38,A55,A56
504,V5,90,A69,A73
505,V3,46,A67,A75
506,V11,36,A63,A70
507,V1,61,A69,A72
508,V2,37,A57,A65
509,V12,89,A24,A32
510,V14,34,A2,A66
511,V1,20,A26,A51
512,V8,22,A64,A68
513,V20,26,A47,A48
514,V11,23,A32,A41
515,V13,62,A74,A75
516,V4,87,A66,A73
517,V11,69,A64,A75
518,V1,61,A48,A55
519,V13,88,A36,A43
520,V7,85,A51,A52
521,V18,37,A44,A62
522,V5,33,A12,A17
523,V10,66,A22,A56
524,V4,34,A51,A65
525,V13,45,A42,A64
526,V16,23,A65,A71
527,V16,87,A22,A25
528,V14,86,A19,A35
529,V3,96,A27,A40
530,V17,28,A72,A74
531,V7,92,A71,A74
532,V16,36,A26,A30
533,V4,59,A39,A42
534,V1,47,A38,A64
535,V15,86,A11,A63
536,V6,76,A32,A39
537,V3,83,A58,A69
538,V17,88,A2,A25
539,V19,60,A32,A33
540,V17,30,A49,A55
541,V14,32,A27,A60
542,V8,51,A66,A70
543,V16,64,A54,A64
544,V4,75,A21,A68
545,V14,33,A19,A66
546,V18,59,A22,A39
547,V15,63,A3,A22
548,V11,61,A9,A32
549,V5,52,A68,A75
550,V11,57,A7,A56
551,V19,50,A69,A73
552,V9,64,A60,A70
553,V15,29,A46,A74
554,V5,20,A31,A46
555,V13,89,A40,A51
556,V12,59,A74,A75
557,V17,48,A66,A73
558,V6,50,A55,A67
559,V14,42,A34,A73
560,V19,61,A60,A67
561,V9,49,A32,A34
562,V3,48,A7,A56
563,V18,72,A46,A49
564,V5,70,A10,A39
565,V4,83,A58,A72
566,V12,32,A7,A24
567,V16,26,A22,A34
568,V19,87,A66,A67
569,V8,67,A4,A47
570,V14,92,A11,A32
571,V1,31,A12,A50
572,V1,63,A65,A75
573,V4,91,A58,A62
574,V5,40,A60,A64
575,V10,23,A71,A72
576,V16,34,A3,A75
577,V7,79,A56,A73
578,V1,95,A57,A60
579,V14,85,A19,A36
580,V20,47,A31,A67
581,V18,26,A52,A55
582,V20,80,A72,A74
583,V14,61,A47,A75
584,V20,78,A30,A40
585,V11,54,A54,A73
586,V9,91,A40,A66
587,V1,32,A29,A57
588,V6,50,A57,A74
589,V14,76,A60,A64
590,V2,67,A62,A68
591,V12,96,A13,A69
592,V20,85,A62,A73
593,V18,50,A28,A72
594,V11,24,A55,A62
595,V15,26,A31,A60
596,V13,79,A51,A74
597,V12,34,A39,A72
598,V14,39,A31,A58
599,V9,99,A69,A74
600,V19,32,A48,A58
601,V3,63,A73,A75
602,V6,95,A15,A54
603,V6,85,A32,A37
604,V6,74,A56,A72
605,V14,53,A59,A66
606,V14,48,A52,A64
607,V18,83,A38,A45
608,V11,34,A23,A55
609,V7,72,A48,A58
610,V17,51,A44,A48
611,V12,32,A74,A75
612,V5,82,A74,A75
613,V19,39,A49,A73
614,V6,85,A35,A66
615,V10,65,A65,A66
616,V5,30,A42,A59
617,V13,53,A16,A49
618,V11,98,A16,A56
619,V8,31,A59,A75
620,V14,47,A50,A55
621,V11,33,A41,A45
622,V14,60,A43,A50
623,V3,24,A29,A56
624,V8,82,A2,A45
625,V10,95,A54,A68
626,V19,71,A61,A65
627,V20,23,A48,A67
628,V13,58,A20,A41
629,V19,98,A36,A37
630,V9,47,A41,A46
631,V19,68,A17,A48
632,V18,21,A61,A73
633,V9,77,A23,A49
634,V20,97,A37,A69
635,V18,93,A20,A72
636,V18,94,A23,A36
637,V12,92,A64,A75
638,V9,58,A29,A36
639,V19,83,A62,A71
640,V5,30,A15,A18
641,V20,59,A35,A44
642,V3,46,A66,A69
643,V3,20,A74,A75
644,V11,45,A46,A66
645,V19,68,A70,A73
646,V11,70,A58,A61
647,V20,45,A70,A75
648,V6,92,A72,A74
649,V18,61,A40,A75
650,V11,41,A22,A51
651,V8,91,A1,A53
652,V5,51,A35,A74
653,V3,41,A43,A46
654,V20,27,A40,A41
655,V3,90,A28,A45
656,V13,90,A24,A39
657,V13,50,A49,A75
658,V20,72,A67,A69
659,V1,78,A67,A75
660,V7,53,A30,A73
661,V12,92,A7,A18
662,V7,43,A23,A47
663,V1,86,A59,A74
664,V11,38,A16,A27
665,V10,62,A35,A36
666,V5,26,A30,A55
667,V14,75,A6,A65
668,V15,32,A9,A46
669,V18,60,A72,A75
670,V13,45,A71,A75
671,V16,52,A52,A54
672,V17,21,A38,A61
673,V5,61,A47,A75
674,V9,36,A5,A49
675,V8,60,A57,A67
676,V2,33,A41,A58
677,V13,47,A23,A25
678,V13,97,A43,A64
679,V17,29,A25,A60
680,V15,36,A67,A69
681,V12,40,A66,A71
682,V15,70,A65,A70
683,V15,92,A26,A49
684,V9,68,A30,A60
685,V1,54,A60,A71
686,V7,99,A9,A17
687,V11,42,A65,A67
688,V16,93,A19,A43
689,V18,65,A41,A47
690,V3,29,A44,A66
691,V9,66,A74,A75
692,V6,42,A50,A74
693,V2,35,A54,A59
694,V19,21,A40,A51
695,V3,56,A59,A68
696,V10,32,A26,A32
697,V19,58,A55,A66
698,V5,97,A16,A18
699,V17,53,A65,A67
700,V3,49,A7,A72
701,V8,76,A55,A58
702,V16,30,A32,A66
703,V1,42,A28,A49
704,V16,78,A46,A73
705,V14,49,A38,A44
706,V7,22,A26,A30
707,V5,80,A57,A74
708,V14,60,A15,A38
709,V18,25,A59,A67
710,V14,86,A51,A73
711,V17,43,A1,A15
712,V6,37,A69,A73
713,V4,47,A70,A75
714,V15,31,A60,A61
715,V20,99,A33,A43
716,V7,25,A29,A75
717,V11,96,A60,A63
718,V14,91,A24,A30
719,V6,74,A73,A75
720,V15,83,A30,A60
721,V10,22,A44,A62
722,V13,49,A59,A75
723,V12,20,A56,A60
724,V18,47,A21,A26
725,V6,25,A71,A72
726,V17,89,A18,A38
727,V18,76,A32,A40
728,V15,49,A68,A72
729,V14,46,A33,A50
730,V18,42,A2,A40
731,V7,88,A14,A28
732,V13,24,A44,A69
733,V1,59,A65,A71
734,V7,86,A28,A45
735,V11,43,A13,A52
736,V13,24,A72,A73
737,V14,25,A67,A72
738,V1,34,A39,A62
739,V4,79,A50,A64
740,V6,46,A22,A62
741,V19,91,A54,A57
742,V18,76,A55,A68
743,V14,23,A56,A61
744,V11,55,A32,A49
745,V19,35,A26,A31
746,V14,21,A73,A74
747,V7,89,A36,A45
748,V7,67,A49,A63
749,V5,20,A32,A46
750,V14,23,A27,A44
751,V16,54,A74,A75
752,V3,36,A13,A21
753,V16,68,A16,A53
754,V20,93,A6,A19
755,V17,61,A54,A67
756,V13,44,A41,A49
757,V2,40,A71,A72
758,V1,81,A56,A69
759,V14,38,A29,A64
760,V3,35,A35,A44
761,V19,39,A26,A48
762,V15,52,A18,A41
763,V1,72,A30,A57
764,V6,91,A12,A38
765,V15,28,A13,A64
766,V2,91,A42,A71
767,V15,37,A31,A61
768,V19,54,A65,A74
769,V5,26,A36,A54
770,V14,88,A8,A27
771,V18,20,A69,A75
772,V12,20,A39,A42
773,V3,54,A15,A43
774,V18,58,A49,A53
775,V15,27,A67,A75
776,V3,34,A21,A74
777,V11,85,A20,A58
778,V12,20,A23,A54
779,V15,29,A72,A73
780,V18,59,A64,A74
781,V6,97,A50,A57
782,V17,40,A68,A73
783,V13,70,A15,A56
784,V7,70,A44,A48
785,V10,98,A70,A75
786,V4,96,A30,A73
787,V16,30,A11,A45
788,V1,51,A12,A70
789,V15,96,A37,A72
790,V10,87,A40,A48
791,V8,49,A27,A50
792,V18,88,A14,A50
793,V13,37,A37,A72
794,V12,40,A61,A71
795,V17,96,A18,A46
796,V4,95,A22,A39
797,V19,83,A10,A24
798,V19,40,A28,A57
799,V7,44,A68,A73
800,V6,88,A55,A71
801,V20,51,A47,A74
802,V19,69,A45,A49
803,V12,47,A39,A68
804,V16,74,A30,A70
805,V1,24,A12,A50
806,V10,80,A24,A41
807,V20,48,A23,A61
808,V15,79,A1,A9
809,V18,81,A69,A72
810,V8,23,A7,A32
811,V15,36,A45,A47
812,V6,46,A44,A57
813,V19,72,A63,A69
814,V17,50,A44,A57
815,V6,29,A64,A73
816,V4,33,A73,A75
817,V13,75,A37,A68
818,V11,93,A7,A68
819,V20,29,A7,A42
820,V1,30,A69,A75
821,V3,21,A64,A72
822,V15,62,A6,A25
823,V2,75,A22,A27
824,V17,98,A74,A75
825,V15,43,A58,A66
826,V15,94,A3,A20
827,V12,49,A6,A17
828,V16,72,A73,A75
829,V19,24,A28,A56
830,V12,50,A68,A73
831,V18,86,A65,A75
832,V7,99,A38,A62
833,V2,35,A14,A57
834,V14,23,A70,A75
835,V15,63,A18,A32
836,V7,71,A46,A63
837,V3,80,A23,A33
838,V8,39,A5,A18
839,V9,71,A9,A61
840,V13,74,A49,A59
841,V7,25,A74,A75
842,V4,45,A2,A59
843,V8,42,A28,A29
844,V13,99,A10,A36
845,V7,47,A11,A45
846,V15,92,A66,A70
847,V20,77,A45,A74
848,V8,78,A42,A57
849,V9,90,A63,A69
850,V5,95,A36,A57
851,V8,81,A49,A67
852,V17,44,A9,A37
853,V14,69,A69,A70
854,V3,45,A64,A70
855,V2,28,A74,A75
856,V6,73,A59,A63
857,V2,93,A35,A65
858,V15,59,A29,A57
859,V19,32,A72,A73
860,V16,81,A20,A69
861,V7,79,A66,A71
862,V20,28,A31,A64
863,V16,38,A24,A25
864,V16,87,A27,A46
865,V7,94,A63,A72
866,V19,55,A4,A69
867,V3,73,A63,A68
868,V12,90,A23,A71
869,V8,46,A18,A63
870,V6,44,A30,A72
871,V5,63,A46,A61
872,V6,23,A32,A52
873,V10,79,A46,A59
874,V2,87,A26,A53
875,V7,40,A12,A22
876,V20,25,A10,A71
877,V8,62,A33,A69
878,V11,59,A3,A13
879,V18,52,A44,A56
880,V4,60,A49,A75
881,V18,46,A24,A45
882,V6,69,A30,A42
883,V14,25,A23,A39
884,V3,33,A45,A52
885,V15,49,A61,A64
886,V5,46,A34,A53
887,V8,21,A18,A35
888,V1,52,A68,A72
889,V20,91,A41,A54
890,V2,90,A74,A75
891,V20,77,A70,A73
892,V5,91,A46,A67
893,V19,69,A27,A63
894,V8,45,A22,A44
895,V14,20,A9,A33
896,V6,99,A41,A59
897,V12,39,A56,A73
898,V3,44,A59,A68
899,V1,20,A43,A50
900,V16,94,A14,A72
901,V17,93,A15,A57
902,V5,91,A64,A68
903,V14,57,A70,A75
904,V15,86,A36,A39
905,V19,28,A67,A70
906,V5,54,A44,A58
907,V6,84,A60,A63
908,V2,57,A55,A57
909,V15,86,A49,A71
910,V12,72,A56,A59
911,V7,75,A35,A58
912,V2,38,A17,A27
913,V9,85,A61,A72
914,V7,69,A36,A70
915,V3,77,A40,A45
916,V10,92,A71,A73
917,V19,22,A37,A70
918,V16,39,A40,A51
919,V9,50,A49,A71
920,V12,40,A31,A71
921,V10,62,A4,A52
922,V3,72,A59,A61
923,V8,87,A34,A39
924,V6,64,A26,A58
925,V15,29,A40,A42
926,V20,84,A20,A42
927,V15,55,A73,A74
928,V14,78,A1,A4
929,V1,96,A55,A68
930,V12,83,A17,A48
931,V13,58,A65,A67
932,V20,59,A3,A64
933,V9,51,A70,A74
934,V19,81,A53,A64
935,V15,60,A57,A74
936,V14,78,A5,A10
937,V19,72,A37,A65
938,V5,70,A51,A65
939,V5,32,A42,A73
940,V6,74,A29,A73
941,V2,59,A9,A70
942,V11,56,A55,A66
943,V5,59,A3,A60
944,V19,28,A42,A65
945,V15,55,A31,A67
946,V1,56,A17,A29
947,V5,29,A24,A59
948,V18,72,A59,A61
949,V19,70,A5,A30
950,V6,43,A72,A75
951,V13,43,A13,A40
952,V17,58,A61,A66
953,V7,90,A39,A71
954,V3,75,A27,A52
955,V15,80,A17,A74
956,V12,85,A16,A23
957,V9,36,A31,A56
958,V2,23,A20,A44
959,V3,71,A67,A73
960,V15,22,A55,A61
961,V17,90,A69,A73
962,V7,75,A63,A75
963,V8,74,A49,A58
964,V7,21,A7,A69
965,V13,64,A29,A32
966,V12,68,A13,A38
967,V13,20,A54,A58
968,V5,42,A20,A58
969,V14,75,A7,A65
970,V4,35,A64,A68
971,V18,45,A47,A62
972,V7,63,A62,A74
973,V5,34,A33,A64
974,V12,62,A67,A71
975,V11,21,A32,A64
976,V11,73,A14,A41
977,V19,36,A68,A70
978,V16,76,A64,A72
979,V19,31,A71,A74
980,V2,39,A69,A70
981,V13,89,A63,A71
982,V15,70,A48,A64
983,V18,46,A5,A35
984,V8,65,A54,A72
985,V8,40,A16,A53
986,V16,92,A26,A33
987,V1,70,A21,A50
988,V17,39,A16,A39
989,V18,81,A52,A74
990,V17,21,A7,A21
991,V9,41,A35,A41
992,V8,55,A74,A75
993,V6,44,A47,A59
994,V2,37,A17,A44
995,V4,20,A34,A73
996,V15,87,A39,A47
997,V20,65,A74,A75
998,V5,96,A12,A13
999,V12,91,A23,A74
1000,V10,77,A67,A69
1001,V12,73,A9,A39
1002,V10,55,A26,A57
1003,V3,39,A9,A22
1004,V19,66,A2,A16
1005,V6,93,A54,A58
1006,V17,78,A16,A30
1007,V9,34,A45,A72
1008,V3,67,A66,A73
1009,V11,64,A68,A73
1010,V5,39,A68,A75
1011,V6,52,A26,A69
1012,V4,68,A18,A29
1013,V9,34,A42,A70
1014,V20,90,A33,A43
1015,V13,49,A4,A20
1016,V16,99,A44,A59
1017,V7,88,A15,A75
1018,V16,64,A53,A72
1019,V4,36,A12,A62
1020,V3,51,A60,A73
1021,V8,90,A74,A75
1022,V12,46,A60,A66
1023,V15,52,A63,A75
1024,V13,47,A63,A64
1025,V10,66,A67,A69
1026,V13,79,A69,A73
1027,V6,27,A74,A75
1028,V15,32,A69,A71
1029,V5,54,A40,A74
1030,V12,53,A56,A61
1031,V17,40,A20,A70
1032,V2,67,A49,A57
1033,V9,68,A11,A24
1034,V4,91,A29,A53
1035,V4,95,A16,A67
1036,V7,87,A36,A46
1037,V5,39,A56,A67
1038,V7,70,A32,A61
1039,V8,93,A38,A52
1040,V13,56,A63,A74
1041,V3,67,A25,A71
1042,V3,28,A36,A65
1043,V16,68,A28,A71
1044,V18,59,A68,A74
1045,V7,21,A8,A17
1046,V20,51,A67,A71
1047,V4,33,A18,A24
1048,V14,63,A65,A75
1049,V7,89,A12,A14
1050,V5,52,A65,A70
1051,V16,42,A65,A69
1052,V3,42,A55,A58
1053,V16,78,A33,A56
1054,V19,59,A20,A42
1055,V12,97,A42,A71
1056,V20,31,A13,A27
1057,V11,45,A14,A36
1058,V19,27,A37,A74
1059,V9,70,A55,A73
1060,V20,21,A14,A61
1061,V20,28,A26,A68
1062,V11,52,A35,A74
1063,V17,27,A73,A75
1064,V12,61,A69,A74
1065,V17,56,A65,A70
1066,V4,27,A65,A73
